id_codedep_codecommune,Code_postal,Id_bien,Surface_carrez,Type_local,Total_piece
33522,33400,326,20.15,Appartement,1
33533,33210,327,62.55,Appartement,2
34003,34300,328,23.70,Appartement,1
34079,34800,329,44.14,Appartement,2
34157,34140,330,59.19,Appartement,3
34301,34200,331,62.66,Appartement,3
35210,35740,332,56.15,Appartement,3
35238,35000,333,16.54,Appartement,1
37261,37100,334,65.52,Appartement,3
38185,38000,335,31,Appartement,2
38185,38100,336,61.23,Appartement,3
38185,38100,337,76.75,Appartement,3
38191,38750,338,16.30,Appartement,1
38421,38400,339,60.73,Appartement,4
38421,38400,340,81.25,Appartement,4
39526,39500,341,97.41,Maison,5
40088,40100,342,85.32,Appartement,4
40281,40280,343,45.94,Appartement,2
40284,40230,344,53.22,Maison,3
40312,40220,345,65.26,Appartement,3
40312,40220,346,91.43,Appartement,4
40317,40230,347,74.39,Maison,4
42005,42160,348,90.2,Appartement,3
42187,42300,349,76.75,Appartement,3
42187,42300,350,41.31,Appartement,2
42187,42300,351,61.37,Appartement,2
42332,42300,352,75.95,Appartement,4
43157,43000,353,36.98,Appartement,2
44035,44240,354,51.77,Maison,3
44109,44000,355,62.88,Maison,1
44132,44380,356,67.98,Appartement,2
44198,44840,357,53.25,Appartement,2
45075,45380,358,60.7,Appartement,3
45232,45160,359,70.03,Appartement,4
45234,45000,360,44.39,Appartement,2
45284,45800,361,26.25,Appartement,1
49007,49100,362,71.08,Appartement,3
49007,49000,363,21.62,Appartement,1
49099,49300,364,39.78,Appartement,2
50147,50200,365,59.19,Appartement,2
51108,51000,366,31.79,Appartement,1
51230,51200,367,43.85,Appartement,2
54263,54310,368,58.53,Appartement,3
56023,56400,369,38.01,Appartement,2
60342,60290,370,43.84,Appartement,2
60513,60460,371,64.45,Appartement,4
62893,62930,372,87.68,Maison,4
64102,64100,373,54.68,Appartement,2
69089,69340,374,60.77,Appartement,3
69176,69510,375,104.11,Maison,4
69264,69400,376,56.02,Appartement,3
69381,69001,377,28.17,Appartement,3
69383,69003,378,49.13,Appartement,1
69384,69004,379,51.01,Appartement,2
72181,72000,380,20.92,Appartement,1
73257,73440,381,30.84,Appartement,2
74236,74170,382,16.70,Appartement,2
74311,74250,383,47.17,Appartement,2
75103,75003,384,27.37,Appartement,2
75103,75003,385,26.43,Appartement,1
75104,75004,386,34.6,Appartement,2
75105,75005,387,27.01,Appartement,1
75106,75006,388,29.50,Appartement,1
75106,75006,389,110.09,Appartement,5
75106,75006,390,165.15,Appartement,5
